nem_code,nem_title,occupation_type,level
00-0000,"Total, all occupations",Summary,0
11-0000,Management occupations,Summary,1
11-1000,Top executives,Summary,2
11-1011,Chief executives,Line item,3
11-1021,General and operations managers,Line item,3
11-1031,Legislators,Line item,3
11-2000,"Advertising, marketing, promotions, public relations, and sales managers",Summary,2
11-2011,Advertising and promotions managers,Line item,3
11-2020,Marketing and sales managers,Summary,3
11-2021,Marketing managers,Line item,4
11-2022,Sales managers,Line item,4
11-2030,Public relations and fundraising managers,Summary,3
11-2032,Public relations managers,Line item,4
11-2033,Fundraising managers,Line item,4
11-3000,Operations specialties managers,Summary,2
11-3010,Administrative services and facilities managers,Summary,3
11-3012,Administrative services managers,Line item,4
11-3013,Facilities managers,Line item,4
11-3021,Computer and information systems managers,Line item,3
11-3031,Financial managers,Line item,3
11-3051,Industrial production managers,Line item,3
11-3061,Purchasing managers,Line item,3
11-3071,"Transportation, storage, and distribution managers",Line item,3
11-3111,Compensation and benefits managers,Line item,3
11-3121,Human resources managers,Line item,3
11-3131,Training and development managers,Line item,3
11-9000,Other management occupations,Summary,2
11-9013,"Farmers, ranchers, and other agricultural managers",Line item,3
11-9021,Construction managers,Line item,3
11-9030,Education and childcare administrators,Summary,3
11-9031,"Education and childcare administrators, preschool and daycare",Line item,4
11-9032,"Education administrators, kindergarten through secondary",Line item,4
11-9033,"Education administrators, postsecondary",Line item,4
11-9039,"Education administrators, all other",Line item,4
11-9041,Architectural and engineering managers,Line item,3
11-9051,Food service managers,Line item,3
11-9070,Entertainment and recreation managers,Summary,3
11-9071,Gambling managers,Line item,4
11-9072,"Entertainment and recreation managers, except gambling",Line item,4
11-9081,Lodging managers,Line item,3
11-9111,Medical and health services managers,Line item,3
11-9121,Natural sciences managers,Line item,3
11-9131,Postmasters and mail superintendents,Line item,3
11-9141,"Property, real estate, and community association managers",Line item,3
11-9151,Social and community service managers,Line item,3
11-9161,Emergency management directors,Line item,3
11-9170,Personal service managers,Summary,3
11-9171,Funeral home managers,Line item,4
11-9179,"Personal service managers, all other",Line item,4
11-9199,"Managers, all other",Line item,3
13-0000,Business and financial operations occupations,Summary,1
13-1000,Business operations specialists,Summary,2
13-1011,"Agents and business managers of artists, performers, and athletes",Line item,3
13-1020,Buyers and purchasing agents,Line item,3
13-1030,"Claims adjusters, appraisers, examiners, and investigators",Summary,3
13-1031,"Claims adjusters, examiners, and investigators",Line item,4
13-1032,"Insurance appraisers, auto damage",Line item,4
13-1041,Compliance officers,Line item,3
13-1051,Cost estimators,Line item,3
13-1070,Human resources workers,Summary,3
13-1071,Human resources specialists,Line item,4
13-1074,Farm labor contractors,Line item,4
13-1075,Labor relations specialists,Line item,4
13-1080,Logisticians and project management specialists,Summary,3
13-1081,Logisticians,Line item,4
13-1082,Project management specialists,Line item,4
13-1111,Management analysts,Line item,3
13-1121,"Meeting, convention, and event planners",Line item,3
13-1131,Fundraisers,Line item,3
13-1141,"Compensation, benefits, and job analysis specialists",Line item,3
13-1151,Training and development specialists,Line item,3
13-1161,Market research analysts and marketing specialists,Line item,3
